,motion citoyenne,motion (28/06/2016),motion des gauches (12/05/2016),motion de droite (12/05/2016),motion de droite - vote (12/05/2016),tribune jdd
Jean-Pierre Door,,,,x,x,
Dominique Dord,,,,x,x,
René Dosière,,,,,,
Philippe Doucet,,,,,,
Sandrine Doucet,,,,,,
David Douillet,,,,x,x,
Jeanine Dubié,,,,,,
Françoise Dubois,,,,,,
Marianne Dubois,,,,x,x,
Virginie Duby-Muller,,,,x,x,
Jean-Pierre Dufau,,,,,,
Cécile Duflot,x,x,x,,,x
Anne-Lise Dufour-Tonini,,,,,,
Françoise Dumas,,,,,,
William Dumas,,,,,,
Jean-Louis Dumont,,,,,,
Laurence Dumont,,,,,,
Nicolas Dupont-Aignan,,,,,x,
Jean-Paul Dupré,,,,,,
Yves Durand,,,,,,
Philippe Duron,,,,,,
Olivier Dussopt,,,,,,
Éric Elkouby,,,,,,
Henri Emmanuelli,,,,,,
Corinne Erhel,,,,,,
Sophie Errante,,,,,,
Marie-Hélène Fabre,,,,,,
Olivier Falorni,,,,,,
Daniel Fasquelle,,,,x,x,
Alain Fauré,,,,,,
Martine Faure,,,,,,
Olivier Faure,,,,,,
Yannick Favennec,,,,x,x,
Georges Fenech,,,,x,x,
Hervé Féron,,x,,,,x
Richard Ferrand,,,,,,
Aurélie Filippetti,,x,x,,,x
François Fillon,,,,x,x,
Geneviève Fioraso,,,,,,
Philippe Folliot,,,,x,x,
Marie-Louise Fort,,,,x,x,
Yves Foulon,,,,x,x,
Hugues Fourage,,,,,,
Jean-Marc Fournel,,,,,,
Valérie Fourneyron,,,,,,
Michèle Fournier-Armand,,,,,,
Michel Françaix,,,,,,
Marc Francina,,,,x,x,
Christian Franqueville,,,,,,
Jacqueline Fraysse,x,x,x,,x,x
Jean-Christophe Fromantin,,,,,x,
Yves Fromion,,,,x,x,
Jean-Claude Fruteau,,,,,,
Laurent Furst,,,,x,x,
Jean-Louis Gagnaire,,,,,,
Geneviève Gaillard,,x,x,,,x
Yann Galut,,,x,,,x
Claude de Ganay,,,,x,x,
Sauveur Gandolfi-Scheit,,,,x,x,
Guillaume Garot,,,,,,
Renaud Gauquelin,,,,,,
Hervé Gaymard,,,,x,x,
Annie Genevard,,,,x,x,
Guy Geoffroy,,,,x,x,
Bernard Gérard,,,,x,x,
Jean-Marc Germain,,,,,,
Alain Gest,,,,x,x,
Paul Giacobbi,,,,,,
Daniel Gibbs,,,,x,x,
Franck Gilard,,,,x,x,
Jean-Patrick Gille,,,,,,
Georges Ginesta,,,,x,x,
Charles-Ange Ginésy,,,,x,x,
Jean-Pierre Giran,,,,x,x,
Joël Giraud,,,,,,
Jean Glavany,,,,,,
Yves Goasdoué,,,,,,
Claude Goasguen,,,,x,x,
Daniel Goldberg,,,,,,
Philippe Gomès,,,,,x,
Jean-Pierre Gorges,,,,x,x,
Geneviève Gosselin,,,,,,
Philippe Gosselin,,,,x,x,
Pascale Got,,,,,,
Marc Goua,,,,,,
Philippe Goujon,,,,x,x,
Linda Gourjade,,x,x,,,x
Laurent Grandguillaume,,,,,,
Claude Greff,,,,x,x,
Jean Grellier,,,,,,
Arlette Grosskost,,,,x,x,
Serge Grouard,,,,,x,
Henri Guaino,,,,x,x,
Françoise Guégot,,,,x,x,
Édith Gueugneau,x,x,x,,,x
Jean-Claude Guibal,,,,x,x,
Élisabeth Guigou,,,,,,
Jean-Jacques Guillet,,,,x,x,
Christophe Guilloteau,,,,x,x,
Chantal Guittet,,,,,,
David Habib,,,,,,
Meyer Habib,,,,x,x,
Razzy Hammadi,,,,,,
Benoît Hamon,,x,x,,,x
Mathieu Hanotin,,x,x,,,x
Michel Heinrich,,,,,x,
Michel Herbillon,,,,x,x,
Antoine Herth,,,,x,x,
Patrick Hetzel,,,,x,x,
Francis Hillmeyer,,,,x,x,
Gilda Hobert,,,,,,
Philippe Houillon,,,,x,x,
Guénhaël Huet,,,,x,x,
Joëlle Huillier,,,,,,
Christian Hutin,x,x,x,,,x
Sébastien Huyghe,,,,x,x,
Monique Iborra,,,,,,
Françoise Imbert,,,,,,
Michel Issindou,,,,,,
Christian Jacob,,,,x,x,
Denis Jacquat,,,,x,x,
Éric Jalton,,,,,,
Serge Janquin,,x,x,,,
Yves Jégo,,,,x,x,
Henri Jibrayel,,,,,,
Romain Joron,,x,x,,,x
Régis Juanico,,x,x,,,x
Laurent Kalinowski,,,x,,,
Marietta Karamanli,,,,,,
Philippe Kemel,,,,,,
Christian Kert,,,,x,x,
Chaynesse Khirouni,,,,,,
Nathalie Kosciusko-Morizet,,,,x,x,
Jacques Kossowski,,,,x,x,
Jacques Krabal,,,,,,
Patrick Labaune,,,,,x,
Bernadette Laclais,,,,,,
Valérie Lacroute,,,,x,x,
Conchita Lacuey,,,,,,
Marc Laffineur,,,,x,x,
Jean-Christophe Lagarde,,,,x,x,
Sonia Lagarde,,,,,,
François-Michel Lambert,,,,,,
Jérôme Lambert,,x,x,,,x
Jacques Lamblin,,,,x,x,
Jean-François Lamour,,,,x,x,
François Lamy,,,,,,
Anne-Christine Lang,,,,,,
Colette Langlade,,,,,,
Guillaume Larrivé,,,,x,x,
Laure de La Raudière,,,,x,x,
Jean Lassalle,x,x,x,,x,x
Jean Launay,,,,,,
Jean-Luc Laurent,x,x,x,,,x
Charles de La Verpillière,,,,x,x,
Thierry Lazaro,,,,,x,
Alain Lebœuf,,,,,x,
Marylise Lebranchu,,,,,,
Pierre-Yves Le Borgn',,,,,,
Jean-Yves Le Bouillonnec,,,,,,
Patrick Lebreton,,,,,,
Gilbert Le Bris,,,,,,
Isabelle Le Callennec,,,,x,x,
Anne-Yvonne Le Dain,,,,,,
Jean-Yves Le Déaut,,,,,,
Viviane Le Dissez,,,,,,
Vincent Ledoux,,,,x,x,
Michel Lefait,,,,,,
Dominique Lefebvre,,,,,,
Frédéric Lefebvre,,,,,x,
Marc Le Fur,,,,x,x,
Annie Le Houérou,,,,,,
Pierre Lellouche,,,,,x,
Annick Le Loch,,,,,,
Bruno Le Maire,,,,,x,
Patrick Lemasle,,,,,,
Dominique Le Mèner,,,,x,x,
Catherine Lemorton,,,,,,
Christophe Léonard,,x,x,,,x
Jean Leonetti,,,,x,x,
Annick Lepetit,,,,,,
Pierre Lequiller,,,,x,x,
Philippe Le Ray,,,,x,x,
Jean-Pierre Le Roch,,,,,,
Bruno Le Roux,,,,,,
Arnaud Leroy,,,,,,
Marie-Thérèse Le Roy,,,,,,
Maurice Leroy,,,,x,x,
Michel Lesage,,,,,,
Bernard Lesterlin,,,,,,
Serge Letchimy,,,,,,
Céleste Lett,,,,x,x,
Marie Le Vern,,,,,,
Geneviève Levy,,,,x,x,
Michel Liebgott,,,,,,
Martine Lignières-Cassou,,,,,,
Audrey Linkenheld,,,,,,
François Loncle,,,,,,
Gabrielle Louis-Carabin,,,,,,
Lucette Lousteau,,,,,,
Véronique Louwagie,,,,x,x,
Lionnel Luca,,,,,x,
Victorin Lurel,,,,,,
Gilles Lurton,,,,,x,
Jean-Pierre Maggi,,,,,,
Noël Mamère,x,x,x,,,x
Jean-François Mancel,,,,x,x,
Jacqueline Maquet,,,,,,
Laurent Marcangeli,,,,x,x,
Marie-Lou Marcel,,,,,,
Marion Maréchal-Le Pen,,,,,x,
Thierry Mariani,,,,x,x,
Alfred Marie-Jeanne,,x,x,,,x
Hervé Mariton,,,,x,x,
Alain Marleix,,,,x,x,
