577,parti politique,groupe parlementaire,twitter,
Jean-Yves Caullet,Parti socialiste,SRC,JYCaullet ,
Christophe Cavard,Parti socialiste,SRC,ccavard ,
Yves Censi,Les Républicains,LR,yvescensi,à vérifier
Nathalie Chabanne,Parti socialiste,SRC,Chabanne_Nat ,
Ary Chalus,Guadeloupe unie socialisme et réalité,RRDP,achalus971,
Guy Chambefort,Parti socialiste,SRC,guychambefort ,
Jean-Paul Chanteguet,Parti socialiste,SRC,,?
Marie-Anne Chapdelaine,Parti socialiste,SRC,ma_chapdelaine ,
Gérard Charasse,Parti radical de gauche,RRDP,,?
Gaby Charroux,Parti communiste français,GDR,gaby_charroux,
Jérôme Chartier,Les Républicains,LR,jechartier ,
André Chassaigne,Parti communiste français,GDR,AndreChassaigne ,
Luc Chatel,Les Républicains,LR,LucChatel ,
Guy-Michel Chauveau,Parti socialiste,SRC,GMChauveau ,
Dominique Chauvel,Parti socialiste,NI,deputeeChauvel ,
Pascal Cherki,Parti socialiste,SRC,pascalcherki ,
Gérard Cherpion,Les Républicains,LR,GerardCherpion ,
Guillaume Chevrollier,Les Républicains,LR,gchevrollier ,
Alain Chrétien,Les Républicains,LR,alainchretien ,
Jean-Louis Christ,Les Républicains,LR,,?
Dino Cinieri,Les Républicains,LR,,?
Jean-David Ciot,Parti socialiste,SRC,jdciot ,
Éric Ciotti,Les Républicains,LR,ECiotti ,
Alain Claeys,Parti socialiste,SRC,AlainClaeys,
Jean-Michel Clément,Parti socialiste,SRC,jmclement86 ,
Stéphane Claireaux,Cap sur l'avenir,RRDP,sclaireaux,
Marie-Françoise Clergeau,Parti socialiste,SRC,clergeaumf ,
Philippe Cochet,Les Républicains,LR,PhilippeCochet ,
Romain Colas,Parti socialiste,SRC,romaincolas,
Gilbert Collard,Front national,NI,gilbertcollard,
David Comet,Parti socialiste,SRC,,? attention ya un economiste espagnol qui est tout pareil mais pas deputé francais sur twitter
Jean-François Copé,,LR,jf_cope ,
Philip Cordery,Parti socialiste,SRC,PhilipCordery ,
François Cornut-Gentille,Les Républicains,LR,fcornutgentille,
Sergio Coronado,Europe Ecologie Les Verts,NI,sergiocoronado ,
Valérie Corre,Parti socialiste,SRC,Valerie_Corre ,
Jean-Louis Costes,Les Républicains,LR,jeanlouiscostes ,
Jean-Jacques Cottel,Parti socialiste,SRC,cotteljj,
Charles de Courson,,UDI,C_deCourson ,
Édouard Courtial,Les Républicains,LR,EdouardCourtial ,
Catherine Coutelle,Parti socialiste,SRC,CCoutelle,
Jean-Michel Couve,Les Républicains,LR,jmcouve ,
Jacques Cresta,Parti socialiste,SRC,JacquesCresta ,
Pascale Crozon,Parti socialiste,SRC,aveccrozon,
Frédéric Cuvillier,Parti socialiste,SRC,fcuvillier,
Seybah Dagoma,Parti socialiste,SRC,SeybahDagoma ,
Marie-Christine Dalloz,Les Républicains,LR,,?
Karine Daniel,,SRC,KarineDanielNts,
Yves Daniel,Parti socialiste,SRC,ydaniel_depute,
Carlos Da Silva,Parti socialiste,SRC,DaSilvaCarlos91 ,
Olivier Dassault,Les Républicains,LR,ODassault ,
Marc-Philippe Daubresse,Les Républicains,LR,DAUBRESSE_MP ,
Bernard Debré,Les Républicains,LR,Bernard_Debre ,
Jean-Pierre Decool,Debout la France (Debout la République),a. LR,jpdecool ,
Bernard Deflesselles,Les Républicains,LR,bdeflesselles,
Laurent Degallaix,"Union des Radicaux, centristes, indépendants et démocrates",UDI,laudegallaix,
Lucien Degauchy,Les Républicains,LR,,?
Pascal Deguilhem,Parti socialiste,SRC,PascalDeguilhem,
Rémi Delatte,Les Républicains,LR,,?
Florence Delaunay,Parti socialiste,SRC,fdelaunay,
Michèle Delaunay,Parti socialiste,SRC,micheledelaunay,
Guy Delcourt,Parti socialiste,SRC,Guy_Delcourt ,
Carole Delga,Parti socialiste,SRC,CaroleDelga ,
Jacques Dellerie,,SRC,,?
Pascal Demarthe,Parti socialiste,SRC,PascalDemarthe,
Stéphane Demilly,Association PSLE - Nouveau Centre,UDI,,?
Sébastien Denaja,Parti socialiste,SRC,SebastienDenaja ,
Françoise Descamps-Crosnier,Parti socialiste,SRC,,?
Sophie Dessus,Parti socialiste,SRC,SophieDessus ,
Jean-Louis Destans,Parti socialiste,SRC,JLDestans ,
Michel Destot,Parti socialiste,SRC,mdestot ,
Patrick Devedjian,Les Républicains,LR,DevedjianP,
Nicolas Dhuicq,Les Républicains,LR,nicolasdhuicq,
Sophie Dion,Les Républicains,LR,SophieDion74 ,
Julien Dive,juliendive,LR,,
Marc Dolez,Parti communiste français,GDR,,
Fanny Dombre-Coste,,SRC,F_DombreCoste ,
Jean-Pierre Door,Les Républicains,LR,doorjean ,
Dominique Dord,Les Républicains,LR,"DominiqueDord 
",
René Dosière,Parti socialiste,SRC,,?
Philippe Doucet,Parti socialiste,SRC,pdoucet ,
Sandrine Doucet,Parti socialiste,SRC,Doucet_Sandrine ,
David Douillet,Les Républicains,LR,DDouillet ,
Jeanine Dubié,Parti radical de gauche,RRDP,,?
Françoise Dubois,Parti socialiste,SRC,fdubois2012 ,
Marianne Dubois,Les Républicains,LR,DuboisMarianne ,
Virginie Duby-Muller,Les Républicains,LR,DubyMuller ,
Jean-Pierre Dufau,Parti socialiste,SRC,jpdufau,
Cécile Duflot,Europe Ecologie Les Verts,NI,cecileduflot,
Anne-Lise Dufour-Tonini,Parti socialiste,SRC,al_dufourtonini,
Françoise Dumas,Parti socialiste,SRC,fdumasdeputee ,
William Dumas,Parti socialiste,SRC,william_dumas ,
Jean-Louis Dumont,Parti socialiste,SRC,jldumont55,
Laurence Dumont,Parti socialiste,SRC,,?
Nicolas Dupont-Aignan,Debout la France (Debout la République),NI,dupontaignan,
Jean-Paul Dupré,Parti socialiste,SRC,,?
Yves Durand,Parti socialiste,SRC,,?
Philippe Duron,Parti socialiste,SRC,PhilippeDuron ,
Olivier Dussopt,Parti socialiste,SRC,olivierdussopt ,
Éric Elkouby,,SRC,elkoubye,
Henri Emmanuelli,Parti socialiste,SRC,henriemmanuelli,
Corinne Erhel,Parti socialiste,SRC,c_erhel_deputee ,
