577,parti politique,groupe parlementaire,twitter,
Joaquim Pueyo,Parti socialiste,SRC,JoaquimPueyo ,
François Pupponi,Parti socialiste,SRC,fpupponi,
Didier Quentin,Les Républicains,LR,didierquentin,
Catherine Quéré,Parti socialiste,SRC,,?
Valérie Rabault,Parti socialiste,SRC,Valerie_Rabault ,
Monique Rabin,Parti socialiste,SRC,MoniqueRabin ,
Dominique Raimbourg,Parti socialiste,SRC,Raimbourg2012 ,
Marie Récalde,Parti socialiste,SRC,MarieRecalde,
Frédéric Reiss,Les Républicains,LR,,?
Jean-Luc Reitzer,Les Républicains,LR,,?
Marie-Line Reynaud,Parti socialiste,SRC,MLReynaud16 ,
Bernard Reynès,Les Républicains,LR,bernardreynes ,
Franck Reynier,"Union des Radicaux, centristes, indépendants et démocrates",UDI,FranckReynier ,
Arnaud Richard,"Union des Radicaux, centristes, indépendants et démocrates",UDI,ArnaudRichard_ ,
Pierre Ribeaud,Parti socialiste,SRC,,?
Franck Riester,Les Républicains,LR,franckriester ,
Eduardo Rihan Cypel,Parti socialiste,SRC,Rihan_Cypel ,
Thierry Robert,La politique autrement,RRDP,trobert974 ,
Denys Robiliard,Parti socialiste,SRC,DenysRobiliard,
Arnaud Robinet,Les Républicains,LR,ArnaudRobinet ,
Camille de Rocca Serra,,LR,CdeRoccaSerra ,
François Rochebloine,"Union des Radicaux, centristes, indépendants et démocrates",UDI,Rochebloine,
Alain Rodet,Parti socialiste,SRC,,?
Marcel Rogemont,Parti socialiste,SRC,marcelrogemont ,
Sophie Rohfritsch,Les Républicains,LR,SRohfritsch,
Frédéric Roig,Parti socialiste,SRC,,?
Barbara Romagnan,Parti socialiste,SRC,bromagnan ,
Bernard Roman,Parti socialiste,SRC,,?
Gwendal Rouillard,Parti socialiste,SRC,G_ROUILLARD ,
Jean-Louis Roumégas,,NI,jlroumegas ,
René Rouquet,Parti socialiste,SRC,,?
Alain Rousset,Parti socialiste,SRC,al_rousset ,RoussetAlain 
François de Rugy,,SRC,FdeRugy ,
Martial Saddier,Les Républicains,LR,MartialSaddier,
Maina Sage,Rautahi - Rassemblement pour la Polynésie française,UDI,MainaSage,
René Rouquet,,a. SRC,,?
Stéphane Saint-André,Parti radical de gauche,RRDP,AndrSaint ,
Paul Salen,Les Républicains,LR,,?
Rudy Salles,Association PSLE - Nouveau Centre,UDI,rudysalles ,
Nicolas Sansu,Parti communiste français,GDR,,?
Béatrice Santais,Parti socialiste,SRC,,?
André Santini,"Union des Radicaux, centristes, indépendants et démocrates",UDI,ASantini_UDI ,
Éva Sas,,NI,EvaSasAN ,
Odile Saugues,Parti socialiste,SRC,,?
François Sauvadet,"Union des Radicaux, centristes, indépendants et démocrates",UDI,sauvadet ,
Gilbert Sauvan,Parti socialiste,SRC,,?
Gilles Savary,Parti socialiste,SRC,GilleSavary,
François Scellier,Les Républicains,a. LR,fgscellier,
Claudine Schmid,Les Républicains,LR,Claudine_Schmid ,
André Schneider,Les Républicains,LR,,?
Roger-Gérard Schwartzenberg,Parti radical de gauche,RRDP,,?
Gérard Sebaoun,Parti socialiste,SRC,gerardsebaoun ,
Jean-Marie Sermier,Les Républicains,LR,jmsermier2014,
Gabriel Serville,Parti socialiste Guyanais,GDR,GabrielServille,
Fernand Siré,Les Républicains,LR,,?
Christophe Sirugue,Parti socialiste,SRC,chsirugue,
Thierry Solère,Les Républicains,LR,solere92 ,
Julie Sommaruga,Parti socialiste,SRC,JulieSOMMARUGA ,
Michel Sordi,Les Républicains,LR,Michel_Sordi,
Éric Straumann,Les Républicains,LR,ericstraumann ,
Claude Sturni,Les Républicains,a. LR,,?
Alain Suguenot,Les Républicains,LR,A_Suguenot ,
Michèle Tabarot,Les Républicains,LR,MTabarot ,
Jonas Tahuaitu,Tahoeraa Huiraatira,UDI,,?
Suzanne Tallard,Parti socialiste,SRC,SuzanneTallard ,
Lionel Tardy,Les Républicains,LR,DeputeTardy ,
Jean-Charles Taugourdeau,Les Républicains,LR,JCTaugourdeau ,
Guy Teissier,Les Républicains,LR,guyteissier ,
Pascal Terrasse,Parti socialiste,SRC,pterrasse ,
Michel Terrot,Les Républicains,LR,,?
Jean-Marie Tétart,,LR,JeanMarieTetart ,
Pascal Thévenot,,LR,pascalthevenot,
Thomas Thévenoud,Parti radical de gauche,NI,tthevenoud ,
Dominique Tian,Les Républicains,LR,Dominique_TIAN ,
Sylvie Tolmont,Parti socialiste,SRC,SylvieTolmont ,
Jean-Louis Touraine,Parti socialiste,SRC,,?
Alain Tourret,Parti radical de gauche,RRDP,AlainTourret ,
Stéphane Travert,Parti socialiste,SRC,StTRAVERT ,
Catherine Troallic,Parti socialiste,SRC,CaTroallic ,
Jean-Paul Tuaiva,Rautahi - Rassemblement pour la Polynésie française,UDI,JPTUAIVA,
Cécile Untermaier,Parti socialiste,SRC,ceciluntermaier,
Daniel Vaillant,Parti socialiste,SRC,danielvaillant ,
Jacques Valax,Parti socialiste,SRC,jvalax ,
François Vannson,Les Républicains,LR,fvannson ,
Catherine Vautrin,Les Républicains,LR,cavautrin,
Michel Vauzelle,Parti socialiste,SRC,vauzelle,
Francis Vercamer,Association PSLE - Nouveau Centre,UDI,fvercamer,
Patrice Verchère,Les Républicains,LR,patriceverchere,
Fabrice Verdier,Parti socialiste,SRC,F_Verdier ,
Michel Vergnier,Parti socialiste,SRC,chelVERGNIER ,
Jean-Sébastien Vialatte,Les Républicains,LR,JS_Vialatte ,
Arnaud Viala,Les Républicains,LR,arnaudviala,
Philippe Vigier,"Union des Radicaux, centristes, indépendants et démocrates",UDI,vigierphilippe,
Jean-Pierre Vigier,Les Républicains,LR,,?
Patrick Vignal,Parti socialiste,SRC,PatrickVignal ,
François-Xavier Villain,"Union des Radicaux, centristes, indépendants et démocrates",UDI,fxvillain ,
Jean-Michel Villaumé,Parti socialiste,SRC,jmvillaume,
Philippe Vitel,Les Républicains,LR,PhilippeVitel ,
Jean-Jacques Vlody,,SRC,jvlody ,
Michel Voisin,Les Républicains,LR,,?
Jean-Luc Warsmann,Les Républicains,LR,warsmann,
Laurent Wauquiez,Les Républicains,LR,laurentwauquiez,
Patrick Weiten,,UDI,,?
Éric Woerth,Les Républicains,LR,ericwoerth ,
Paola Zanetti,Parti socialiste,SRC,paolazanetti57,
Marie-Jo Zimmermann,Les Républicains,LR,,?
Michel Zumkeller,"Union des Radicaux, centristes, indépendants et démocrates",UDI,MichelZumkeller ,
