Damien Abad
François-Michel Lambert
Jérôme Lambert
Jacques Lamblin
Jean-François Lamour
François Lamy
Anne-Christine Lang
Colette Langlade
Guillaume Larrivé
Laure de La Raudière
Jean Lassalle
Jean Launay
Jean-Luc Laurent
Charles de La Verpillière
Thierry Lazaro
Alain Lebœuf
Marylise Lebranchu
Pierre-Yves Le Borgn'
Jean-Yves Le Bouillonnec
Patrick Lebreton
Gilbert Le Bris
Isabelle Le Callennec
Anne-Yvonne Le Dain
Jean-Yves Le Déaut
Viviane Le Dissez
Vincent Ledoux
Michel Lefait
Dominique Lefebvre
Frédéric Lefebvre
Marc Le Fur
Annie Le Houérou
Pierre Lellouche
Annick Le Loch
Bruno Le Maire
Patrick Lemasle
Dominique Le Mèner
Catherine Lemorton
Christophe Léonard
Jean Leonetti
Annick Lepetit
Pierre Lequiller
Philippe Le Ray
Jean-Pierre Le Roch
Bruno Le Roux
Arnaud Leroy
Marie-Thérèse Le Roy
Maurice Leroy
Michel Lesage
Bernard Lesterlin
Serge Letchimy
Céleste Lett
Marie Le Vern
Geneviève Levy
Michel Liebgott
Martine Lignières-Cassou
Audrey Linkenheld
François Loncle
Gabrielle Louis-Carabin
Lucette Lousteau
Véronique Louwagie
Lionnel Luca
Victorin Lurel
Gilles Lurton
Jean-Pierre Maggi
Noël Mamère
Jean-François Mancel
Jacqueline Maquet
Laurent Marcangeli
Marie-Lou Marcel
Marion Maréchal-Le Pen
Thierry Mariani
Alfred Marie-Jeanne
Hervé Mariton
Alain Marleix
Olivier Marleix
Franck Marlin
Jean-René Marsac
Alain Marsaud
Philippe Martin
Philippe Armand Martin
Martine Martinel
Patrice Martin-Lalande
Alain Marty
Frédérique Massat
Véronique Massonneau
Jean-Claude Mathis
Sandrine Mazetier
François de Mazières
Michel Ménard
Patrick Mennucci
Gérard Menuel
Damien Meslot
Kléber Mesquida
Philippe Meunier
Jean-Claude Mignon
Sylvia Pinel
Paul Molac
Pierre Morange
Yannick Moreau
Pierre Morel-A-L'Huissier
Hervé Morin
Alain Moyne-Bressand
Pierre-Alain Muet
Jacques Myard
Philippe Naillet
Dominique Nachury
Philippe Nauche
Yves Nicolin
Nathalie Nieson
Jean-Philippe Nilor
Philippe Noguès
Robert Olive
Maud Olivier
Patrick Ollier
Dominique Orliac
Monique Orphé
Michel Pajon
Bertrand Pancher
Luce Pane
Christian Paul
Rémi Pauvros
Germinal Peiro
Jacques Pélissard
Hervé Pellois
Jean-Claude Perez
Stéphanie Pernod-Beaudon
Bernard Perrut
Édouard Philippe
Sébastien Pietrasanta
Christine Pirès-Beaune
Michel Piron
Philippe Plisson
Élisabeth Pochon
Jean-Frédéric Poisson
Bérengère Poletti
Napole Polutélé
Axel Poniatowski
Josette Pons
Pascal Popelin
Dominique Potier
Michel Pouzol
Régine Povéda
Patrice Prat
Christophe Premat
Christophe Priou
Joaquim Pueyo
François Pupponi
Didier Quentin
Catherine Quéré
Valérie Rabault
Monique Rabin
Dominique Raimbourg
Marie Récalde
Frédéric Reiss
Jean-Luc Reitzer
Marie-Line Reynaud
Bernard Reynès
Franck Reynier
Arnaud Richard
Pierre Ribeaud
Franck Riester
Eduardo Rihan Cypel
Thierry Robert
Denys Robiliard
Arnaud Robinet
Camille de Rocca Serra
François Rochebloine
Alain Rodet
Marcel Rogemont
Sophie Rohfritsch
Frédéric Roig
Barbara Romagnan
Bernard Roman
Gwendal Rouillard
Jean-Louis Roumégas
René Rouquet
Alain Rousset
François de Rugy
Martial Saddier
Maina Sage
Boinali Saïd
Stéphane Saint-André
Paul Salen
Rudy Salles
Nicolas Sansu
Béatrice Santais
André Santini
Éva Sas
Odile Saugues
François Sauvadet
Gilbert Sauvan
